Bank_Profile_Key,Tenure,Active_Member,Products_Number,Balance,Complain
1,2,1,1,0.0,1
2,1,1,1,83807.86,1
3,8,0,3,159660.8,1
4,1,0,2,0.0,0
5,2,1,1,125510.82,0
6,8,0,2,113755.78,1
7,7,1,2,0.0,0
8,4,0,4,115046.74,1
9,4,1,2,142051.07,0
10,2,1,1,134603.88,0
11,6,0,2,102016.72,0
12,3,0,2,0.0,0
13,10,0,2,0.0,0
14,5,0,2,0.0,0
15,7,1,2,0.0,0
16,3,1,2,143129.41,0
17,1,0,1,132602.88,0
18,9,1,2,0.0,0
19,6,0,1,0.0,0
20,6,1,2,0.0,0
21,8,1,2,0.0,0
22,8,0,2,0.0,0
23,4,0,1,0.0,1
24,3,1,2,0.0,0
25,5,1,1,0.0,0
26,3,1,2,0.0,0
27,2,1,1,136815.64,0
28,9,0,2,0.0,0
29,3,1,1,141349.43,0
30,0,1,2,59697.17,0
31,3,0,3,0.0,1
32,7,1,1,85311.7,0
33,9,0,2,110112.54,0
34,6,1,2,0.0,0
35,9,1,2,0.0,0
36,0,0,1,134264.04,1
37,3,1,1,145260.23,0
38,7,1,1,76548.6,0
39,7,1,1,0.0,0
40,6,1,2,70349.48,0
41,4,0,1,0.0,0
42,8,0,1,122522.32,1
43,2,1,1,117419.35,0
44,2,0,1,131394.56,1
45,5,1,1,155931.11,0
46,4,1,2,109421.13,0
47,9,1,1,112045.67,1
48,9,1,1,137843.8,1
49,2,1,1,103391.38,0
50,2,0,2,103769.22,0
51,10,0,2,116363.37,0
52,5,0,2,146050.97,0
53,5,0,2,0.0,0
54,8,0,1,125561.97,1
55,1,0,1,98495.72,1
56,1,1,1,125211.92,0
57,5,0,1,127864.4,0
58,0,0,1,75888.2,0
59,4,0,1,0.0,1
60,4,1,1,40685.92,0
61,5,0,1,136857.0,0
62,9,0,2,152328.88,0
63,1,0,2,56084.69,0
64,8,1,1,78707.16,0
65,4,1,1,109166.37,0
66,6,1,2,169831.46,1
67,1,0,1,101633.04,1
68,10,1,2,123180.01,1
69,5,1,2,150725.53,1
70,8,0,1,98373.26,0
71,2,0,4,133745.44,1
72,6,0,1,0.0,0
73,0,1,1,163607.18,0
74,5,1,2,157780.84,0
75,9,1,2,0.0,0
76,1,0,2,178718.19,0
77,8,1,2,0.0,0
78,9,1,1,0.0,0
79,5,1,1,77253.22,0
80,10,0,2,122189.66,0
81,1,0,2,96645.54,0
82,2,0,1,0.0,1
83,3,0,2,0.0,0
84,4,1,1,90307.62,0
85,4,0,2,0.0,0
86,10,1,2,0.0,0
87,3,0,1,121681.82,1
88,9,0,2,0.0,0
89,4,0,3,0.0,1
90,3,1,2,81623.67,0
91,5,1,3,0.0,1
92,7,0,2,118626.55,0
93,10,0,2,0.0,0
94,8,1,2,0.0,0
95,4,1,2,0.0,0
96,10,1,1,176273.95,0
97,9,1,1,102827.44,0
98,8,1,2,97086.4,0
99,8,0,2,0.0,0
100,9,0,2,0.0,0
101,6,1,1,0.0,0
102,6,0,2,0.0,0
103,9,0,1,82674.15,0
104,7,0,2,0.0,0
105,1,1,1,0.0,1
106,4,1,2,107073.27,1
107,1,1,1,88938.62,0
108,2,1,1,99806.85,0
109,5,0,1,150092.8,0
110,9,0,1,92833.89,1
111,3,1,1,90536.81,0
112,7,0,2,108055.1,0
113,2,0,1,100238.35,0
114,9,1,1,106190.55,0
115,9,1,2,154475.54,1
116,9,1,2,132351.29,0
117,6,0,1,167864.4,0
118,1,0,2,0.0,0
119,8,0,1,107818.63,1
120,4,0,2,185173.81,0
121,8,0,2,129433.34,0
122,6,0,1,120193.42,0
123,6,0,2,0.0,0
124,10,1,1,126384.42,0
125,3,0,1,0.0,0
126,9,0,1,152603.45,1
127,1,1,1,0.0,1
128,0,0,1,148507.24,1
129,7,0,2,0.0,0
130,9,0,1,101827.07,0
131,3,1,2,0.0,0
132,9,1,1,130862.43,0
133,9,1,1,122570.87,0
134,1,1,2,0.0,0
135,7,1,2,124828.46,0
136,5,1,2,144895.05,0
137,5,1,1,63663.93,0
138,2,1,1,133463.1,0
139,2,0,1,213146.2,0
140,1,1,2,129490.36,1
141,10,0,1,137452.09,0
142,7,1,2,0.0,0
143,5,1,1,125851.93,0
144,2,0,1,0.0,1
145,5,0,1,40915.55,0
146,5,1,1,113157.22,0
147,8,0,2,138296.94,0
148,5,0,1,106967.18,0
149,9,0,1,120681.63,0
150,0,1,2,0.0,0
151,7,0,2,0.0,0
152,9,0,1,0.0,1
153,8,0,2,0.0,0
154,2,0,1,127609.59,0
155,6,1,2,0.0,0
156,7,0,1,0.0,1
157,7,0,2,0.0,0
158,2,1,2,0.0,0
159,6,1,1,97259.25,0
160,4,0,1,123246.7,0
161,6,1,1,101060.25,0
162,2,0,2,0.0,0
163,7,0,1,108007.36,0
164,2,1,2,0.0,0
165,0,0,1,133702.89,1
166,9,1,2,125189.75,0
167,7,0,1,113034.22,1
168,9,0,1,109013.23,0
169,2,0,2,0.0,1
170,9,0,2,57929.81,0
171,4,0,1,130114.39,0
172,5,0,2,95826.49,1
173,10,0,1,129608.57,1
174,4,0,1,169462.09,1
175,5,1,2,0.0,0
176,7,1,1,133868.21,0
177,0,1,2,0.0,0
178,5,0,2,190479.48,0
179,8,1,1,101993.12,0
180,3,0,1,161608.81,1
181,2,1,1,122311.21,0
182,2,1,2,0.0,0
183,1,0,2,162150.42,0
184,2,1,2,0.0,0
185,4,1,1,0.0,1
186,8,0,2,0.0,0
187,1,0,1,99010.67,0
188,0,1,1,0.0,0
189,5,1,2,0.0,0
190,7,0,2,111388.18,0
191,8,0,2,56214.85,1
192,3,0,2,84327.77,0
193,1,0,2,0.0,0
194,8,0,1,93012.89,0
195,9,0,2,61710.44,0
196,3,1,1,174790.15,0
197,6,1,2,0.0,0
198,3,1,1,107720.64,0
199,10,1,2,0.0,0
200,6,0,1,96423.84,0
201,2,1,1,141040.01,0
202,4,1,1,105420.18,0
203,5,1,1,0.0,1
204,2,1,2,129022.06,1
205,3,0,1,176666.62,0
206,3,1,1,0.0,0
207,3,0,1,89763.84,1
208,5,1,1,134954.53,0
209,5,0,1,0.0,1
210,2,1,1,106376.85,0
211,2,0,2,161814.64,0
212,8,1,2,0.0,0
213,9,0,2,0.0,0
214,1,1,1,63095.01,0
215,4,0,2,118287.01,0
216,7,1,1,106854.21,1
217,7,0,1,49512.55,0
218,9,0,2,0.0,0
219,1,0,2,105799.32,1
220,8,1,1,0.0,1
221,9,1,2,114722.05,0
222,7,1,1,0.0,0
223,2,1,2,0.0,0
224,10,0,1,0.0,1
225,6,1,1,99564.22,1
226,4,0,2,170557.91,0
227,9,1,2,0.0,0
228,6,1,3,74596.15,1
229,2,0,1,96888.39,1
230,3,0,1,130830.22,0
231,1,1,2,0.0,0
232,0,0,2,0.0,0
233,1,1,2,0.0,0
234,3,1,2,119714.25,0
235,5,1,2,113978.97,0
236,6,0,1,100160.75,1
237,2,1,1,0.0,0
238,3,0,3,116220.5,1
239,2,0,3,0.0,1
240,2,1,2,81173.83,0
241,4,0,2,0.0,0
242,5,0,1,116803.8,0
243,8,1,2,105961.68,0
244,6,1,1,117411.6,1
245,7,0,2,0.0,0
246,10,0,1,123497.58,1
247,7,0,2,152400.51,0
248,1,1,2,0.0,0
249,8,1,1,103097.85,0
250,8,0,1,126418.14,1
251,5,0,1,77846.9,0
252,1,1,2,0.0,0
253,0,1,2,0.0,0
254,2,1,1,79731.91,0
255,8,0,1,0.0,0
256,0,1,2,0.0,0
257,10,1,2,0.0,0
258,6,0,2,37266.67,0
259,6,1,1,127992.25,0
260,3,1,1,54901.01,0
261,9,1,2,108748.08,0
262,6,0,1,99906.19,0
263,6,0,2,184686.41,0
264,0,1,1,110654.02,0
265,9,1,1,79019.8,0
266,9,0,1,99240.51,0
267,2,1,2,0.0,0
268,7,0,2,0.0,0
269,7,0,1,0.0,1
270,7,0,1,52436.2,0
271,9,1,2,0.0,0
272,3,0,3,100337.96,1
273,1,1,2,149297.19,0
274,8,0,2,0.0,0
275,4,1,1,145605.44,0
276,7,1,2,0.0,0
277,3,1,1,0.0,1
278,10,0,2,0.0,0
279,6,1,1,84026.86,0
280,1,0,1,0.0,1
281,8,1,2,0.0,0
282,10,1,2,0.0,0
283,4,1,1,138718.92,1
284,7,1,1,118274.71,0
285,8,1,2,174185.98,0
286,7,0,2,113208.86,0
