Tenure,Active_Member,Products_Number,Balance,Complain
2,1,1,0.0,1
1,1,1,83807.86,1
8,0,3,159660.8,1
1,0,2,0.0,0
2,1,1,125510.82,0
8,0,2,113755.78,1
7,1,2,0.0,0
4,0,4,115046.74,1
4,1,2,142051.07,0
2,1,1,134603.88,0
6,0,2,102016.72,0
3,0,2,0.0,0
10,0,2,0.0,0
5,0,2,0.0,0
7,1,2,0.0,0
3,1,2,143129.41,0
1,0,1,132602.88,0
9,1,2,0.0,0
6,0,1,0.0,0
6,1,2,0.0,0
8,1,2,0.0,0
8,0,2,0.0,0
4,0,1,0.0,1
3,1,2,0.0,0
5,1,1,0.0,0
3,1,2,0.0,0
2,1,1,136815.64,0
9,0,2,0.0,0
3,1,1,141349.43,0
0,1,2,59697.17,0
3,0,3,0.0,1
7,1,1,85311.7,0
9,0,2,110112.54,0
6,1,2,0.0,0
9,1,2,0.0,0
0,0,1,134264.04,1
3,1,1,145260.23,0
7,1,1,76548.6,0
7,1,1,0.0,0
6,1,2,70349.48,0
4,0,1,0.0,0
8,0,1,122522.32,1
2,1,1,117419.35,0
2,0,1,131394.56,1
5,1,1,155931.11,0
4,1,2,109421.13,0
9,1,1,112045.67,1
9,1,1,137843.8,1
2,1,1,103391.38,0
2,0,2,103769.22,0
10,0,2,116363.37,0
5,0,2,146050.97,0
5,0,2,0.0,0
8,0,1,125561.97,1
1,0,1,98495.72,1
1,1,1,125211.92,0
5,0,1,127864.4,0
0,0,1,75888.2,0
4,0,1,0.0,1
4,1,1,40685.92,0
5,0,1,136857.0,0
9,0,2,152328.88,0
1,0,2,56084.69,0
8,1,1,78707.16,0
4,1,1,109166.37,0
6,1,2,169831.46,1
1,0,1,101633.04,1
10,1,2,123180.01,1
5,1,2,150725.53,1
8,0,1,98373.26,0
2,0,4,133745.44,1
6,0,1,0.0,0
0,1,1,163607.18,0
5,1,2,157780.84,0
9,1,2,0.0,0
1,0,2,178718.19,0
8,1,2,0.0,0
9,1,1,0.0,0
5,1,1,77253.22,0
10,0,2,122189.66,0
1,0,2,96645.54,0
2,0,1,0.0,1
3,0,2,0.0,0
4,1,1,90307.62,0
4,0,2,0.0,0
10,1,2,0.0,0
3,0,1,121681.82,1
9,0,2,0.0,0
4,0,3,0.0,1
3,1,2,81623.67,0
5,1,3,0.0,1
7,0,2,118626.55,0
10,0,2,0.0,0
8,1,2,0.0,0
4,1,2,0.0,0
10,1,1,176273.95,0
9,1,1,102827.44,0
8,1,2,97086.4,0
8,0,2,0.0,0
9,0,2,0.0,0
