customer_key,bank_profile_key,credit_profile_key,location_key,churn
15634602,1,1,1,1
15647311,2,2,2,0
15619304,3,3,1,1
15701354,4,4,1,0
15737888,5,5,2,0
15574012,6,6,2,1
15592531,7,7,1,0
15656148,8,8,3,1
15792365,9,9,1,0
15592389,10,10,1,0
15767821,11,11,1,0
15737173,12,12,2,0
15632264,13,13,1,0
15691483,14,14,1,0
15600882,15,15,2,0
15643966,16,16,3,0
15737452,17,17,3,1
15788218,18,18,2,0
15661507,19,19,2,0
15568982,20,20,1,0
15577657,21,21,1,0
15597945,22,22,2,0
15699309,23,23,2,1
15725737,24,24,1,0
15625047,25,25,1,0
15738191,26,26,1,0
15736816,27,27,3,0
15700772,28,28,1,0
15728693,29,29,3,0
15656300,30,30,1,0
15589475,31,31,2,1
15706552,32,32,1,0
15750181,33,33,3,0
15659428,34,34,2,0
15732963,35,35,2,0
15794171,36,36,1,1
15788448,37,37,2,0
15729599,38,38,2,0
15717426,39,39,1,0
15585768,40,40,3,0
15619360,41,41,2,0
15738148,42,42,1,1
15687946,43,43,1,0
15755196,44,44,1,1
15684171,45,45,2,0
15754849,46,46,3,0
15602280,47,47,3,1
15771573,48,48,3,1
15766205,49,49,3,0
15771873,50,50,3,0
15616550,51,51,3,0
15768193,52,52,3,0
15683553,53,53,1,0
15702298,54,54,3,1
15569590,55,55,3,1
15760861,56,56,1,0
15630053,57,57,1,0
15647091,58,58,3,0
15623944,59,59,2,1
15804771,60,60,1,0
15651280,61,61,3,0
15773469,62,62,3,0
15702014,63,63,2,0
15751208,64,64,2,0
15592461,65,65,3,0
15789484,66,66,3,0
15696061,67,67,3,0
15641582,68,68,3,0
15638424,69,69,3,0
15755648,70,70,1,0
15703793,71,71,3,1
15620344,72,72,1,0
15812518,73,73,2,0
15779052,74,74,3,0
15770811,75,75,1,0
15780961,76,76,1,0
15614049,77,77,1,0
15662085,78,78,1,0
15575185,79,79,2,0
15803136,80,80,3,0
15706021,81,81,1,0
15663706,82,82,1,1
15641732,83,83,1,0
15701164,84,84,1,0
15738751,85,85,1,0
15805254,86,86,2,0
15762418,87,87,2,1
15625759,88,88,1,0
15622897,89,89,1,1
15767954,90,90,3,0
15757535,91,91,2,1
15731511,92,92,1,0
15809248,93,93,1,0
15640635,94,94,1,0
15676966,95,95,2,0
15699461,96,96,2,0
15738721,97,97,2,0
15693683,98,98,3,0
15604348,99,99,2,0
15633059,100,100,1,0
15808582,101,101,1,0
15743192,102,102,1,0
