credit_profile_key,credit_card_ownership,credit_score,credit_card_type
1,1,619,DIAMOND
2,0,608,DIAMOND
3,1,502,DIAMOND
4,0,699,GOLD
5,1,850,GOLD
6,1,645,DIAMOND
7,1,822,SILVER
8,1,376,DIAMOND
9,0,501,GOLD
10,1,684,GOLD
11,0,528,GOLD
12,1,497,GOLD
13,1,476,SILVER
14,0,549,PLATINUM
15,1,635,GOLD
16,0,616,GOLD
17,1,653,SILVER
18,1,549,SILVER
19,0,587,PLATINUM
20,1,726,GOLD
21,1,732,PLATINUM
22,1,636,DIAMOND
23,1,510,DIAMOND
24,0,669,SILVER
25,1,846,PLATINUM
26,0,577,PLATINUM
27,1,756,DIAMOND
28,0,571,PLATINUM
29,1,574,DIAMOND
30,1,411,GOLD
31,1,591,DIAMOND
32,0,533,SILVER
33,0,553,GOLD
34,1,520,SILVER
35,1,722,PLATINUM
36,1,475,DIAMOND
37,0,490,SILVER
38,0,804,GOLD
39,1,850,GOLD
40,0,582,GOLD
41,1,472,DIAMOND
42,0,465,SILVER
43,1,556,PLATINUM
44,0,834,GOLD
45,1,660,PLATINUM
46,1,776,SILVER
47,1,829,DIAMOND
48,1,637,SILVER
49,0,550,DIAMOND
50,1,776,SILVER
51,1,698,SILVER
52,0,585,SILVER
53,0,788,GOLD
54,0,655,SILVER
55,1,601,DIAMOND
56,1,619,SILVER
57,1,656,PLATINUM
58,0,725,PLATINUM
59,1,511,SILVER
60,1,614,PLATINUM
61,0,742,GOLD
62,0,687,DIAMOND
63,0,555,PLATINUM
64,1,684,SILVER
65,1,603,PLATINUM
66,1,751,GOLD
67,1,581,PLATINUM
68,1,735,PLATINUM
69,0,661,GOLD
70,1,675,SILVER
71,1,738,GOLD
72,1,813,PLATINUM
73,0,657,GOLD
74,1,604,SILVER
75,0,519,PLATINUM
76,1,735,PLATINUM
77,1,664,SILVER
78,1,678,GOLD
79,0,757,SILVER
80,1,416,SILVER
81,0,665,DIAMOND
82,1,777,SILVER
83,0,543,DIAMOND
84,1,506,SILVER
85,1,493,SILVER
86,1,652,DIAMOND
87,1,750,SILVER
88,1,729,DIAMOND
89,1,646,PLATINUM
90,1,635,DIAMOND
91,1,647,DIAMOND
92,1,808,SILVER
93,1,524,GOLD
94,1,769,DIAMOND
95,0,730,DIAMOND
96,0,515,GOLD
97,0,773,DIAMOND
98,1,814,GOLD
99,0,710,SILVER
100,0,413,PLATINUM
101,1,665,SILVER
102,0,623,DIAMOND
103,1,738,DIAMOND
104,1,528,SILVER
105,1,670,GOLD
106,1,622,GOLD
107,1,582,GOLD
108,0,785,PLATINUM
109,0,605,DIAMOND
110,1,479,DIAMOND
111,0,685,SILVER
112,1,538,SILVER
113,0,562,PLATINUM
114,0,675,SILVER
115,0,721,PLATINUM
116,1,628,GOLD
117,1,668,SILVER
118,1,506,GOLD
119,1,524,SILVER
120,1,699,PLATINUM
121,0,828,SILVER
122,0,674,PLATINUM
123,1,656,DIAMOND
124,1,684,GOLD
125,0,625,GOLD
126,1,432,DIAMOND
127,0,549,DIAMOND
128,1,625,PLATINUM
129,1,828,PLATINUM
130,1,770,GOLD
131,1,758,PLATINUM
